x;y;z
0;0.7;0
0.136562;0.68655;0
0.267877;0.646716;0
0.388898;0.582029;0
0.494974;0.494975;0
0.582028;0.3889;0
0.646715;0.267879;0
0.68655;0.136564;0
0.7;0.000001;0
0.68655;-0.136563;0
0.646716;-0.267878;0
0.582029;-0.388899;0
0.494975;-0.494974;0
0.3889;-0.582029;0
0.267879;-0.646716;0
0.136564;-0.68655;0
0;-0.7;0
-0.136563;-0.68655;0
-0.267878;-0.646716;0
-0.388899;-0.582029;0
-0.494975;-0.494975;0
-0.582029;-0.388899;0
-0.646716;-0.267878;0
-0.68655;-0.136563;0
-0.7;0;0
-0.68655;0.136563;0
-0.646716;0.267878;0
-0.582029;0.388899;0
-0.494975;0.494975;0
-0.388899;0.582029;0
-0.267878;0.646716;0
-0.136563;0.68655;0
-0.267878;0.646716;0.1
-0.388899;0.582029;0.1
-0.433869;0.64933;0.2
-0.298854;0.721497;0.2
0.646716;-0.267878;0.1
0.582029;-0.388899;0.1
-0.68655;-0.136563;0.1
-0.7;0;0.1
0.68655;-0.136563;0.1
-0.646716;-0.267878;0.1
0.7;0.000001;0.1
-0.582029;-0.388899;0.1
0.68655;0.136564;0.1
-0.494975;-0.494975;0.1
0.646715;0.267879;0.1
-0.388899;-0.582029;0.1
0.582028;0.3889;0.1
-0.267878;-0.646716;0.1
-0.136563;0.68655;0.1
0;0.7;0.1
0.494974;0.494975;0.1
-0.136563;-0.68655;0.1
0.388898;0.582029;0.1
0;-0.7;0.1
0.267877;0.646716;0.1
0.136564;-0.68655;0.1
-0.494975;0.494975;0.1
0.136562;0.68655;0.1
0.267879;-0.646716;0.1
-0.582029;0.388899;0.1
0.3889;-0.582029;0.1
-0.646716;0.267878;0.1
0.494975;-0.494974;0.1
-0.68655;0.136563;0.1
-0.64933;0.433868;0.2
-0.721497;0.298854;0.2
-0.807509;0.334481;0.3
-0.726739;0.485591;0.3
0.298853;0.721497;0.2
0.433868;0.649331;0.2
0.152355;-0.765937;0.2
0;-0.780943;0.2
-0.55221;0.55221;0.2
0.152353;0.765937;0.2
0.298854;-0.721497;0.2
0;0.780943;0.2
0.433869;-0.64933;0.2
0.55221;-0.55221;0.2
-0.765937;0.152354;0.2
0.64933;-0.433868;0.2
-0.780943;0;0.2
0.721497;-0.298853;0.2
-0.765937;-0.152354;0.2
0.765937;-0.152354;0.2
-0.721497;-0.298854;0.2
0.780943;0.000001;0.2
-0.64933;-0.433868;0.2
0.765937;0.152355;0.2
-0.55221;-0.55221;0.2
0.721497;0.298855;0.2
-0.433868;-0.64933;0.2
0.64933;0.433869;0.2
-0.298854;-0.721497;0.2
-0.152354;0.765937;0.2
0.552209;0.552211;0.2
-0.152354;-0.765937;0.2
-0.874042;0;0.3
-0.857247;-0.170517;0.3
-0.857247;-0.170517;0.3
-0.874042;0;0.3
0.618041;-0.61804;0.3
0.485592;-0.726739;0.3
-0.857247;0.170517;0.3
0.726739;-0.485591;0.3
0.807509;-0.334481;0.3
0.857247;-0.170516;0.3
-0.807509;-0.334481;0.3
0.874042;0.000001;0.3
-0.726739;-0.485592;0.3
0.857247;0.170518;0.3
-0.618041;-0.618041;0.3
0.807509;0.334482;0.3
-0.485591;-0.726739;0.3
0.726738;0.485592;0.3
-0.334481;-0.807509;0.3
-0.170517;0.857247;0.3
0;0.874042;0.3
0.61804;0.618041;0.3
-0.170517;-0.857247;0.3
-0.334481;0.807509;0.3
0.485591;0.72674;0.3
0;-0.874042;0.3
-0.485592;0.726739;0.3
0.33448;0.80751;0.3
0.170517;-0.857247;0.3
-0.618041;0.618041;0.3
0.170516;0.857247;0.3
0.334482;-0.807509;0.3
-0.726739;-0.485592;0.3
-0.618041;-0.618041;0.3
-0.665163;-0.665163;0.4
-0.782149;-0.522615;0.4
0.857247;-0.170516;0.3
0.807509;-0.334481;0.3
-0.807509;-0.334481;0.3
0.874042;0.000001;0.3
0.857247;0.170518;0.3
0.807509;0.334482;0.3
-0.485591;-0.726739;0.3
0.726738;0.485592;0.3
-0.334481;-0.807509;0.3
